os_type,os_days_since_update,firewall_enabled,antivirus_enabled,days_since_av_update,browser_safe_browsing_enabled,browser_autofill_passwords,risky_extension_count,risk_score_0_10,risk_tier
macOS,47.0,0,0,20.9,0,1,0,9.36,High
macOS,205.1,1,1,84.3,0,0,2,6.2,Medium
macOS,120.4,1,0,46.1,0,0,1,5.12,Medium
macOS,13.7,0,1,15.9,0,0,2,5.09,Medium
Windows,107.9,1,1,41.0,1,1,1,2.76,Low
macOS,223.4,0,0,83.4,1,0,4,10.0,High
Windows,56.1,0,0,4.5,0,0,0,7.26,High
Windows,203.9,0,0,101.5,0,0,0,10.0,High
Windows,88.7,1,1,190.9,1,1,0,3.47,Low
macOS,57.3,0,1,61.4,1,0,1,4.59,Medium
Windows,77.2,1,1,32.2,1,1,0,1.94,Low
Windows,63.0,1,1,93.9,1,0,0,1.71,Low
Windows,127.7,1,0,146.4,1,0,2,3.86,Low
Windows,54.8,1,0,44.2,1,1,4,3.87,Low
macOS,74.0,1,1,9.5,1,0,1,1.97,Low
Windows,81.5,0,1,58.1,1,0,1,5.11,Medium
Windows,89.2,1,1,49.6,1,1,0,2.85,Low
Windows,34.9,1,1,18.3,0,1,0,3.14,Low
macOS,157.1,1,0,114.7,1,1,3,7.27,High
Windows,59.0,1,1,20.3,1,0,3,1.88,Low
Windows,168.0,0,0,96.6,0,1,4,10.0,High
Windows,205.5,0,1,43.8,1,0,2,6.75,Medium
Linux,259.8,1,1,133.4,1,1,1,4.14,Medium
Linux,38.5,1,1,38.3,1,1,2,2.14,Low
macOS,97.2,1,1,8.9,1,0,4,3.68,Low
Windows,29.5,0,1,23.0,1,0,1,3.4,Low
Linux,109.5,0,1,43.4,1,0,1,5.69,Medium
macOS,61.7,0,0,101.6,1,1,4,7.3,High
macOS,124.9,1,1,20.8,1,0,1,2.72,Low
Windows,54.7,1,0,14.8,1,0,0,2.33,Low
Windows,22.0,0,1,33.3,1,0,4,4.0,Medium
Windows,119.8,1,0,24.7,1,0,1,4.26,Medium
Linux,15.6,1,1,50.8,1,0,0,0.99,Low
Windows,107.4,1,0,24.0,0,0,0,4.8,Medium
Windows,173.4,1,1,123.2,0,1,3,7.54,High
Windows,90.5,1,1,47.8,0,1,3,7.14,High
macOS,182.6,0,0,23.5,1,1,0,8.45,High
Windows,58.3,0,1,35.8,1,0,1,3.99,Low
Linux,32.7,0,1,51.1,1,0,1,3.61,Low
macOS,20.9,1,1,15.3,1,1,2,0.59,Low
macOS,228.5,0,1,94.7,1,1,1,7.26,High
Windows,84.3,1,0,37.4,0,0,0,4.33,Medium
macOS,67.0,0,0,32.7,0,1,2,10.0,High
macOS,127.9,1,1,34.6,1,0,0,3.01,Low
macOS,84.2,1,1,158.7,0,0,3,4.64,Medium
Windows,181.4,1,0,98.6,0,1,3,9.5,High
Windows,313.9,1,0,95.0,0,0,2,6.8,Medium
Windows,202.5,0,1,141.8,0,1,1,9.88,High
Windows,78.6,1,1,84.3,0,0,0,3.84,Low
Windows,147.7,0,1,111.1,1,0,5,8.11,High
Windows,9.7,1,1,44.1,0,0,1,2.37,Low
Windows,72.2,1,1,55.7,1,1,1,2.92,Low
macOS,356.9,0,0,62.9,0,1,4,10.0,High
Windows,87.2,0,0,85.7,1,1,2,8.05,High
Linux,35.5,1,0,218.8,0,0,4,4.36,Medium
macOS,54.4,1,0,1.7,1,1,2,4.32,Medium
Windows,80.6,0,1,62.0,1,1,0,5.85,Medium
macOS,109.8,0,0,78.2,0,1,5,10.0,High
Windows,193.9,0,1,130.7,0,1,1,9.5,High
Linux,174.4,0,1,116.2,0,1,2,10.0,High
Windows,658.7,0,0,112.5,0,1,3,10.0,High
macOS,129.4,1,1,46.8,0,0,3,5.61,Medium
Windows,79.5,1,1,54.5,1,0,1,3.5,Low
Windows,17.4,0,1,20.4,1,0,0,2.82,Low
Windows,147.8,0,1,118.3,0,0,2,6.92,Medium
Linux,85.3,0,0,113.6,1,1,0,7.09,High
macOS,372.4,0,1,160.5,1,1,2,7.23,High
Windows,14.7,0,1,31.0,1,0,1,3.65,Low
Windows,138.2,0,1,75.5,0,1,2,8.97,High
Windows,65.9,1,1,27.5,0,0,2,2.82,Low
Windows,89.6,1,1,28.3,1,0,0,0.84,Low
Windows,84.7,0,0,112.4,0,1,1,10.0,High
Windows,62.3,1,1,32.3,0,0,0,3.02,Low
macOS,77.4,1,0,69.6,1,1,3,4.56,Medium
Linux,83.7,0,1,42.6,0,1,2,7.47,High
Windows,106.4,1,0,30.2,1,0,1,3.58,Low
macOS,45.8,1,1,61.3,0,1,0,4.3,Medium
Windows,27.4,1,0,33.4,1,0,0,1.84,Low
macOS,269.6,0,1,31.7,1,1,2,7.13,High
Windows,276.4,1,0,39.8,0,0,1,6.21,Medium
macOS,87.0,1,1,16.8,1,0,2,1.52,Low
macOS,56.4,1,1,71.5,1,0,0,2.43,Low
macOS,82.4,0,1,38.2,1,0,1,4.72,Medium
Windows,123.6,1,0,203.7,1,0,4,5.96,Medium
Linux,73.6,1,0,47.2,0,0,0,4.83,Medium
Windows,30.0,1,1,47.9,1,0,0,1.17,Low
Windows,32.4,1,1,40.2,1,1,1,1.8,Low
macOS,43.2,0,1,32.1,1,1,3,4.32,Medium
Windows,56.6,1,1,22.0,1,1,1,2.38,Low
macOS,23.3,1,1,10.6,1,1,1,0.65,Low
macOS,83.1,0,0,88.9,0,0,0,8.36,High
Windows,176.7,1,1,52.4,1,0,2,4.53,Medium
Linux,81.5,1,0,172.5,1,1,4,3.82,Low
Windows,32.3,0,1,106.5,1,0,4,5.17,Medium
Windows,59.7,0,1,17.0,0,0,1,4.52,Medium
Windows,56.7,0,1,127.5,1,0,0,3.78,Low
Linux,70.4,1,1,42.9,1,1,1,2.58,Low
Windows,61.5,0,1,28.3,0,0,2,6.0,Medium
Windows,33.4,0,1,21.2,1,1,1,3.46,Low
Windows,71.4,1,1,1.4,0,0,2,3.38,Low
Linux,47.0,1,1,38.8,1,1,1,2.44,Low
Linux,211.1,0,1,180.4,1,1,3,8.54,High
macOS,30.2,0,1,8.7,1,1,2,4.02,Medium
Linux,108.0,0,1,92.6,0,1,1,8.69,High
Linux,269.0,1,0,193.9,0,1,0,8.21,High
Windows,28.0,0,1,37.1,0,1,0,6.05,Medium
Windows,58.0,1,1,36.3,1,1,2,2.14,Low
macOS,74.5,1,1,36.1,1,1,0,2.3,Low
macOS,200.4,1,1,54.5,0,0,1,5.19,Medium
Windows,83.4,1,0,59.1,1,1,0,4.08,Medium
Windows,126.9,1,0,96.1,1,0,0,4.05,Medium
macOS,73.7,1,1,27.6,1,1,0,2.22,Low
Windows,164.0,0,1,36.6,1,1,1,7.01,High
Linux,42.8,1,0,47.1,0,0,3,4.67,Medium
Windows,146.0,0,0,42.4,1,0,3,10.0,High
Windows,66.2,0,1,33.0,0,0,3,6.29,Medium
macOS,160.4,0,1,46.7,0,1,3,10.0,High
Windows,51.3,1,1,8.4,1,0,2,0.89,Low
Windows,121.5,1,1,157.2,1,1,2,4.17,Medium
macOS,92.9,1,1,7.2,0,0,4,5.69,Medium
Linux,120.1,1,1,39.8,1,1,2,3.51,Low
Windows,65.7,0,0,19.2,1,0,3,6.94,Medium
Windows,144.8,1,1,24.2,1,1,1,3.49,Low
macOS,230.5,1,1,26.1,1,1,2,4.49,Medium
Linux,169.0,0,1,5.9,1,0,1,6.13,Medium
Windows,83.6,1,1,28.6,1,0,0,1.92,Low
Windows,55.1,1,0,16.3,1,1,1,3.73,Low
Windows,259.1,0,0,36.3,0,0,3,10.0,High
Windows,73.1,1,1,56.1,1,0,2,2.92,Low
Windows,83.7,1,1,5.1,1,1,0,2.08,Low
macOS,127.8,1,1,4.2,1,1,1,2.94,Low
Windows,117.4,1,0,111.3,0,1,5,8.06,High
Windows,98.3,1,0,31.5,1,0,2,2.78,Low
macOS,155.1,0,0,30.7,1,1,1,8.7,High
macOS,172.0,1,0,139.0,0,1,5,8.55,High
Windows,112.4,0,1,293.8,0,1,7,10.0,High
macOS,319.2,1,1,85.7,1,1,3,6.56,Medium
macOS,464.5,0,1,105.7,0,1,1,9.51,High
macOS,112.9,0,0,22.5,0,0,1,7.88,High
Windows,173.2,1,1,40.9,0,0,5,7.02,High
Windows,18.7,1,1,27.9,1,1,0,1.46,Low
Linux,190.9,1,0,26.5,0,0,5,8.8,High
Windows,44.3,1,0,4.1,1,0,2,2.99,Low
Windows,86.7,1,0,138.8,1,1,4,4.43,Medium
Windows,161.6,0,0,15.4,1,1,1,9.15,High
macOS,94.5,0,1,45.1,1,1,2,6.39,Medium
Linux,34.2,0,1,58.4,1,0,0,3.89,Low
Windows,180.6,1,0,44.0,1,1,0,4.7,Medium
Linux,127.4,0,1,19.9,0,0,6,8.27,High
Windows,85.7,1,1,141.6,1,0,1,2.32,Low
macOS,46.6,1,1,26.9,1,0,0,0.76,Low
macOS,197.8,1,0,58.0,1,0,2,4.91,Medium
Windows,268.5,0,0,100.5,0,1,3,10.0,High
Windows,13.4,1,0,17.0,0,0,2,3.22,Low
Windows,120.2,1,1,27.4,0,1,2,5.54,Medium
Linux,82.9,1,0,1.1,1,0,0,4.18,Medium
macOS,32.7,0,1,15.8,1,0,0,3.44,Low
Linux,146.0,0,0,39.0,1,0,3,9.82,High
macOS,109.5,1,1,51.8,1,0,1,3.12,Low
Windows,17.0,0,1,6.4,1,0,0,2.86,Low
macOS,106.7,0,1,74.9,0,0,1,6.6,Medium
Windows,49.0,0,0,44.4,1,1,3,7.48,High
Windows,97.3,1,0,65.0,0,1,2,6.73,Medium
macOS,64.3,1,1,68.2,0,1,0,4.15,Medium
macOS,169.3,1,1,73.7,1,0,5,5.81,Medium
Windows,144.8,1,0,62.6,1,1,1,4.18,Medium
Windows,178.3,0,1,267.2,0,1,0,8.89,High
macOS,77.8,0,0,21.9,0,0,1,8.58,High
Linux,269.5,0,0,156.4,0,1,4,10.0,High
macOS,103.6,1,1,67.2,1,1,0,3.13,Low
Windows,92.2,1,1,51.0,0,1,0,4.1,Medium
Windows,161.8,1,1,55.0,1,0,3,4.84,Medium
Windows,95.3,1,0,39.3,0,0,3,5.91,Medium
macOS,131.9,0,1,44.8,0,1,0,7.51,High
Linux,103.8,0,1,37.3,1,0,2,5.26,Medium
Windows,58.6,0,1,84.8,0,0,3,6.36,Medium
Windows,84.5,0,1,43.2,0,1,2,8.07,High
Windows,277.6,1,0,36.9,1,0,1,5.51,Medium
macOS,64.3,1,0,68.8,0,1,2,6.49,Medium
macOS,252.5,0,1,101.1,0,1,1,9.64,High
Windows,66.4,0,1,30.6,0,1,3,7.52,High
Windows,146.3,1,0,68.9,0,1,1,7.31,High
macOS,18.7,1,0,57.4,0,0,0,2.93,Low
Windows,16.2,1,0,87.7,1,0,0,2.0,Low
macOS,103.4,1,1,122.3,0,0,0,3.93,Low
Windows,33.4,1,1,224.1,1,0,0,1.0,Low
Windows,112.5,1,1,103.5,0,1,2,5.38,Medium
Linux,129.5,1,1,50.4,1,0,0,2.09,Low
Windows,70.5,0,1,24.3,1,1,0,4.42,Medium
Windows,93.9,1,0,55.6,0,0,0,4.4,Medium
Windows,146.7,0,1,151.6,0,1,2,8.81,High
Windows,271.5,1,0,58.1,1,1,4,6.74,Medium
Windows,33.7,1,1,27.9,1,0,1,0.99,Low
Windows,117.9,1,0,49.5,0,0,1,4.86,Medium
Windows,142.0,1,1,31.7,1,1,2,3.94,Low
Windows,156.8,1,1,40.8,0,0,4,6.99,Medium
macOS,309.1,0,1,137.6,0,1,5,10.0,High
macOS,77.4,1,1,67.2,1,1,1,3.41,Low
Windows,120.7,0,0,75.8,0,1,1,10.0,High
Windows,127.1,1,0,41.2,0,1,3,7.59,High
Windows,264.0,0,0,37.4,0,1,4,10.0,High
Linux,134.1,1,1,58.5,1,1,1,3.14,Low
Linux,44.7,0,0,80.9,1,1,0,6.47,Medium
Windows,239.1,1,0,25.0,1,1,1,5.81,Medium
Windows,14.1,1,1,34.6,1,0,0,1.27,Low
Windows,58.9,1,1,24.3,1,0,0,1.35,Low
Windows,273.4,0,1,63.1,1,0,1,6.47,Medium
macOS,153.3,0,0,47.3,1,1,3,10.0,High
Windows,118.0,1,1,34.4,1,1,3,5.18,Medium
Windows,20.1,0,1,63.8,1,1,3,5.19,Medium
Windows,136.8,0,1,60.5,0,1,3,10.0,High
Windows,20.9,1,1,9.0,1,0,1,0.95,Low
Windows,52.6,1,1,31.0,1,1,0,2.0,Low
macOS,44.6,0,0,60.1,1,0,2,6.54,Medium
Windows,163.5,0,0,25.7,1,1,2,8.47,High
Linux,105.4,1,1,12.9,1,0,3,3.23,Low
Windows,93.0,1,0,13.6,1,1,0,4.02,Medium
macOS,132.9,1,1,66.4,1,0,0,3.74,Low
Linux,95.0,1,1,13.3,1,1,1,2.66,Low
Linux,81.2,0,0,79.1,0,1,2,9.6,High
macOS,93.1,1,1,32.3,1,0,2,2.62,Low
macOS,88.8,1,1,37.4,1,0,0,2.29,Low
macOS,136.5,0,0,133.8,0,0,0,8.46,High
macOS,160.6,0,0,38.2,0,1,0,10.0,High
Windows,59.3,1,1,53.0,1,1,3,3.29,Low
Windows,324.5,0,1,50.1,1,0,3,7.63,High
Windows,42.0,1,1,46.3,0,0,5,3.81,Low
Linux,120.7,0,1,80.4,1,0,2,5.71,Medium
Windows,68.2,1,1,31.2,1,1,1,2.9,Low
Windows,68.0,1,1,59.6,1,0,1,2.08,Low
macOS,65.6,1,0,72.6,1,1,5,3.79,Low
Windows,184.5,0,0,376.2,0,0,2,10.0,High
Windows,71.4,1,1,64.2,1,0,1,1.95,Low
Windows,99.3,0,0,23.2,0,0,3,10.0,High
Windows,71.8,1,1,44.5,0,1,6,5.71,Medium
Windows,190.5,1,0,83.9,1,1,3,6.52,Medium
Windows,26.2,0,1,83.4,0,1,2,6.67,Medium
Windows,109.7,0,1,21.4,1,1,0,4.98,Medium
Windows,225.4,0,1,31.3,1,0,2,6.34,Medium
Windows,77.1,1,1,38.3,0,0,1,2.88,Low
macOS,300.0,1,1,93.0,0,1,1,6.63,Medium
Windows,221.4,1,1,130.7,1,1,5,6.8,Medium
Linux,111.1,1,1,2.5,1,1,4,4.92,Medium
Linux,74.3,1,1,65.8,1,1,0,2.51,Low
Windows,40.8,0,1,134.6,1,0,1,4.25,Medium
Windows,136.9,0,0,74.1,1,1,4,10.0,High
Windows,311.8,1,1,102.8,1,0,4,6.09,Medium
macOS,310.7,0,1,220.3,1,1,6,8.31,High
macOS,147.7,0,1,56.0,1,0,2,6.48,Medium
macOS,90.8,1,0,24.6,0,1,3,7.79,High
Windows,97.9,1,1,39.8,1,1,0,2.66,Low
macOS,39.0,0,1,68.6,1,0,1,3.73,Low
Windows,57.4,1,1,26.5,0,0,0,3.14,Low
macOS,146.1,0,1,24.9,1,0,0,4.28,Medium
Windows,170.1,1,0,132.8,0,1,3,8.94,High
macOS,81.9,1,1,19.4,1,0,0,1.6,Low
Linux,77.8,1,0,36.5,1,0,1,2.89,Low
Windows,69.2,1,1,49.3,0,0,3,3.92,Low
macOS,55.9,1,1,41.5,1,1,1,1.81,Low
Windows,181.5,1,1,94.0,1,0,2,4.71,Medium
macOS,143.1,1,0,180.8,1,0,3,7.0,High
Windows,61.3,1,1,24.4,1,1,3,2.19,Low
Linux,87.8,1,1,42.0,0,0,0,3.75,Low
Windows,96.9,1,1,20.4,1,0,1,2.29,Low
Linux,103.2,1,1,35.6,1,1,2,3.35,Low
macOS,94.6,0,1,36.4,1,0,0,4.44,Medium
macOS,216.5,1,1,60.2,0,1,5,9.0,High
macOS,55.8,1,1,62.2,0,1,0,4.77,Medium
macOS,78.0,1,0,31.7,1,1,1,4.01,Medium
Linux,214.7,0,0,33.4,1,0,1,9.09,High
Windows,67.8,1,1,80.9,1,0,4,3.42,Low
macOS,43.1,1,1,18.7,0,0,1,2.35,Low
Windows,166.6,0,0,95.4,1,1,2,9.33,High
macOS,30.8,1,1,60.1,0,0,2,3.18,Low
Windows,101.8,0,0,80.9,0,1,3,10.0,High
macOS,157.2,1,1,16.9,1,0,3,4.12,Medium
macOS,203.9,0,1,50.6,1,1,0,7.3,High
Windows,160.5,0,0,32.6,1,1,2,9.28,High
Windows,73.6,1,0,87.9,1,1,1,4.09,Medium
macOS,20.2,1,1,4.6,1,1,2,1.35,Low
macOS,50.2,0,1,117.9,1,1,3,5.22,Medium
Windows,145.4,1,0,172.0,1,1,4,6.32,Medium
macOS,45.1,1,1,73.7,1,0,1,1.74,Low
Linux,229.7,1,1,114.8,1,1,0,3.79,Low
Windows,200.0,0,1,28.6,1,1,2,6.86,Medium
Windows,138.2,0,1,81.0,0,1,2,8.74,High
Windows,38.3,1,1,31.0,1,0,0,1.18,Low
macOS,240.6,1,0,72.9,0,0,3,7.62,High
Windows,69.2,1,1,18.3,0,1,2,4.84,Medium
macOS,82.9,1,1,16.8,1,0,2,2.07,Low
macOS,68.7,1,1,11.5,1,1,2,1.56,Low
Windows,58.2,0,0,109.4,1,1,2,7.35,High
Linux,78.1,1,0,67.2,1,0,1,3.52,Low
macOS,80.4,1,1,89.5,1,1,1,3.39,Low
Windows,91.5,1,1,40.9,1,1,2,2.78,Low
Windows,346.8,0,1,79.5,1,1,0,6.4,Medium
Windows,114.5,1,1,51.7,1,0,1,3.45,Low
Windows,128.5,0,1,25.7,0,1,1,8.23,High
Windows,96.4,1,1,10.6,1,0,0,1.48,Low
Linux,84.4,1,1,17.0,1,1,2,2.32,Low
Windows,189.4,1,1,25.0,0,0,2,5.39,Medium
Windows,49.4,0,1,24.3,1,1,1,4.68,Medium
macOS,176.4,0,0,75.8,0,1,1,10.0,High
macOS,31.3,0,1,9.7,1,0,0,2.5,Low
Linux,41.0,0,1,182.1,0,1,1,6.26,Medium
macOS,187.1,0,1,98.7,0,0,4,9.47,High
Windows,145.1,1,1,31.5,1,1,0,3.22,Low
Windows,96.1,0,1,136.3,0,1,1,7.56,High
Linux,295.0,1,1,39.9,0,0,0,5.76,Medium
macOS,292.1,0,0,125.0,0,1,3,10.0,High
Linux,172.2,1,1,50.2,1,0,2,3.92,Low
Windows,217.7,1,1,67.5,1,1,1,5.66,Medium
Linux,117.4,1,1,100.5,1,0,2,3.06,Low
macOS,51.4,0,1,32.3,1,0,1,3.99,Low
Windows,23.7,1,1,15.0,1,1,1,1.91,Low
macOS,43.2,0,1,70.8,0,0,1,5.62,Medium
macOS,166.2,1,1,26.9,1,1,1,4.21,Medium
Windows,136.6,1,0,78.2,1,1,2,4.66,Medium
Windows,44.7,1,0,28.5,0,0,2,3.85,Low
macOS,197.9,1,0,76.5,1,1,2,5.06,Medium
Windows,232.2,1,0,130.4,0,1,2,7.91,High
Windows,181.9,1,0,76.8,1,1,2,5.85,Medium
Windows,63.7,1,1,43.8,0,0,2,4.36,Medium
Windows,125.6,0,0,43.3,1,1,4,9.82,High
Linux,32.8,1,1,50.4,1,1,0,2.32,Low
macOS,23.6,0,1,41.9,1,0,0,3.82,Low
Windows,160.3,0,1,11.8,0,0,1,6.73,Medium
Linux,139.8,1,0,11.2,0,0,1,5.7,Medium
Linux,44.5,0,1,46.2,0,1,2,7.1,High
Windows,100.5,1,1,9.2,0,0,0,2.77,Low
macOS,373.8,0,0,49.3,0,1,2,10.0,High
Windows,93.5,1,1,29.0,1,1,0,2.26,Low
Linux,62.5,0,1,69.5,0,1,2,7.52,High
macOS,180.2,1,0,36.2,0,0,2,6.53,Medium
macOS,301.6,0,0,76.7,0,1,1,10.0,High
Windows,253.8,0,1,83.6,0,1,3,10.0,High
Linux,54.8,1,0,16.5,1,0,3,2.75,Low
Windows,22.4,1,1,33.9,1,1,1,0.9,Low
Windows,87.0,1,0,68.2,1,0,1,3.72,Low
Windows,244.1,1,0,47.9,0,1,3,9.31,High
macOS,34.8,1,1,10.1,1,0,1,1.38,Low
Windows,204.3,1,1,23.3,1,1,2,4.39,Medium
Linux,132.6,0,1,38.1,0,1,0,8.12,High
macOS,167.7,0,1,74.6,0,0,3,9.27,High
Windows,115.8,1,1,37.3,0,1,0,5.27,Medium
Windows,70.9,0,1,17.9,1,1,2,4.92,Medium
Windows,88.4,1,1,64.0,1,0,1,2.55,Low
macOS,196.4,0,0,53.6,1,1,1,9.68,High
macOS,23.4,0,0,243.4,0,1,5,10.0,High
Windows,97.5,1,0,41.7,0,1,1,6.85,Medium
macOS,84.3,0,1,24.3,1,0,0,4.88,Medium
Windows,35.2,0,1,59.3,1,1,1,4.16,Medium
macOS,93.6,0,0,44.8,1,0,1,7.74,High
Linux,209.5,1,1,50.1,0,0,1,5.59,Medium
macOS,7.9,1,0,5.5,1,0,0,1.78,Low
macOS,41.6,0,0,72.0,1,1,0,6.35,Medium
macOS,39.7,1,1,17.1,1,0,0,0.81,Low
Windows,61.8,1,1,11.4,1,0,1,0.59,Low
Windows,62.4,1,1,60.3,1,0,2,2.63,Low
Windows,94.0,1,1,20.8,1,1,1,2.6,Low
Windows,14.0,1,0,15.4,1,0,0,1.64,Low
macOS,165.6,1,0,30.7,1,1,4,7.48,High
macOS,256.3,1,0,35.1,1,0,2,5.2,Medium
Linux,57.7,1,1,12.4,1,0,1,1.04,Low
Windows,54.6,0,1,47.2,0,1,3,7.47,High
macOS,62.3,0,1,16.3,1,1,3,5.54,Medium
Windows,228.5,1,0,102.7,0,1,2,7.95,High
Windows,132.6,0,0,24.9,1,1,2,8.98,High
macOS,126.9,0,1,69.2,1,0,0,5.27,Medium
Linux,53.9,1,1,34.3,1,0,0,1.67,Low
macOS,165.3,0,0,36.9,0,0,2,10.0,High
Windows,276.4,0,1,90.7,0,1,7,10.0,High
macOS,9.6,1,1,35.3,1,0,1,0.7,Low
Windows,141.4,0,0,95.2,1,1,1,8.5,High
Linux,25.8,1,0,47.5,1,0,2,1.7,Low
macOS,62.2,0,1,68.6,0,1,1,6.76,Medium
Windows,83.7,0,0,2.5,1,1,1,6.96,Medium
Windows,43.8,1,1,15.3,0,1,0,3.2,Low
Windows,154.4,0,1,7.7,1,1,1,5.85,Medium
Linux,210.9,1,0,86.8,0,0,2,6.4,Medium
Windows,140.5,0,0,35.9,0,1,5,10.0,High
macOS,251.9,1,0,119.2,1,1,1,5.98,Medium
macOS,116.1,1,1,46.2,1,0,0,2.65,Low
macOS,152.1,1,1,65.0,1,1,0,4.46,Medium
Windows,69.2,1,1,27.6,1,0,2,1.45,Low
Linux,74.5,1,0,152.8,0,1,2,6.29,Medium
Windows,120.3,1,0,44.1,1,0,1,4.33,Medium
macOS,135.6,1,0,31.3,1,0,4,6.07,Medium
macOS,96.9,1,1,44.0,0,0,1,3.8,Low
macOS,82.7,0,1,34.8,1,0,2,4.68,Medium
Linux,38.5,0,1,53.4,1,1,1,4.72,Medium
Windows,109.3,0,1,151.2,0,1,2,8.46,High
Windows,49.6,0,0,24.7,1,1,0,7.22,High
Windows,228.8,1,0,218.0,1,1,3,6.62,Medium
Windows,146.2,0,0,45.4,0,0,0,9.78,High
Windows,32.0,1,1,16.5,1,1,3,2.03,Low
Windows,239.3,0,0,208.5,0,0,4,10.0,High
Windows,128.2,1,0,45.8,0,1,3,8.3,High
